Note,Duration
A,500
A,500
B,500
A,500
A,500
A,500
B,500
A,500
A,500
B,500
A,500
G,500
E,500
E,500
E,500
E,500
E,500
E,500
F#,500
G,500
B,500
A,500
B,500
A,500
G,500
F#,500
D,500
D,500
D,500
E,500
F#,500
G,500
F#,500
E,500
E,500
E,500
D,500
D,500
D,500
E,500
F#,500
G,500
F#,500
E,500
E,500
E,500
A,500
A,500
B,500
A,500
A,500
A,500
B,500
A,500
A,500
B,500
A,500
G,500
E,500
E,500
E,500
B,500
B,500
B,500
A,500
G,500
E,500
E,500
E,500
E,500
F#,500
G,500
A,500
A,500
B,500
B,500
B,500
B,500
B,500
B,500
A,500
G,500
E,500
E,500
E,500
E,500
F#,500
G,500
D,500
C#,500
B,500
B,500
B,500
B,500
B,500
B,500
A,500
G,500
E,500
E,500
E,500
E,500
F#,500
G,500
A,500
A,500
B,500
B,500
B,500
B,500
B,500
B,500
A,500
G,500
E,500
E,500
E,500
E,500
F#,500
G,500
A,500
A,500
B,500
B,500
B,500
B,500
B,500
B,500
A,500
G,500
E,500
E,500
E,500
E,500
F#,500
G,500
D,500
C#,500
B,500
B,500
B,500
B,500
D,500
C#,500
D,500
B,500
D,500
C#,500
B,500
D,500
C#,500
D,500
C#,500
D,500
E,500
D,500
C#,500
C#,500
C#,500
B,500
C#,500
D,500
E,500
F#,500
E,500
E,500
E,500
F#,500
D,500
D,500
D,500
E,500
D,500
C#,500
E,500
E,500
F#,500
G,500
B,500
A,500
B,500
A,500
G,500
F#,500
D,500
D,500
D,500
E,500
F#,500
G,500
F#,500
E,500
E,500
E,500
D,500
D,500
D,500
E,500
F#,500
G,500
F#,500
E,500
E,500
E,500
A,500
A,500
B,500
A,500
A,500
A,500
B,500
A,500
A,500
B,500
A,500
G,500
E,500
E,500
E,500
A,500
A,500
B,500
A,500
A,500
A,500
B,500
A,500
A,500
B,500
A,500
G,500
E,500
E,500
E,500
